sku;title;descrFiscal;ean;dun;marca_original;classe;conservacao;pesoLiquido;pesoBruto;url
351484;PICANHA A (ACIMA DE 1,3KG) ARGENTINA - ARREBEEF;A Picanha A Argentina Arrebeef (acima de 1,3kg) é um corte nobre bovino importado, reconhecido pela maciez e sabor marcante. Ideal para churrascos de alto padrão e restaurantes que prezam pela qualidade, possui certificação argentina e é comercializada em caixas de 8 a 12 peças. Produto congelado que garante frescor, padronização e rendimento superior em preparações profissionais. Origem: Bovino | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 12;;;ARREBEEF;Bovinos;Congelado;1.3 kg;20.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-a-acima-de-1-6kg-argentina-arrebeef-bovino-congelado/351484
351487;PICANHA B (ABAIXO DE 1,6KG) ARGENTINA - ARREBEEF;Picanha B Argentina Arrebeef abaixo de 1,6kg, certificada, corte bovino macio e saboroso. Produto congelado, embalado em caixas de 8 a 14 unidades. Origem: Bovino | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 14;;;ARREBEEF;Bovinos;Congelado;1.6 kg;13.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-b-abaixo-de-1-6kg-argentina-arrebeef-bovino-congelado/351487
351488;PICANHA B (ACIMA DE 1,6KG) ARGENTINA - ARREBEEF;Picanha B (acima de 1,6kg) Argentina - Arrebeef, corte bovino certificado da Argentina, reconhecido pelo sabor e marmoreio superiores. Ideal para churrascos e grelhados de alto padrão. Vendida em caixas de 8 a 14 unidades congeladas, é o produto perfeito para o seu negócio premium. Origem: Bovino | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 14;;;ARREBEEF;Bovinos;Congelado;1.6 kg;13.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-b-acima-de-1-6kg-argentina-arrebeef-bovino-congelado/351488
351520;LINGUIÇA CALABRESA COZIDA E DEFUMADA - ALIBEM;A Linguiça Calabresa Cozida e Defumada - Alibem é uma opção saborosa e prática, ideal para grelhados e cozidos. Com um sabor intenso e tempero especial, é perfeita para dar um toque diferenciado às suas receitas. Cada caixa contém 4 unidades, garantindo praticidade no uso. Mantenha em temperatura ambiente, facilitando seu consumo em diversas preparações. Quantidade Mínima da Caixa: 4 | Quantidade Máxima da Caixa: 4;;;ALIBEM;Embutidos e Processados;Temperatura Ambiente;;10.000 kg (Caixa);https://www.friboionline.com.br/product/linguica-calabresa-cozida-e-defumada-alibem-industrializado-ambiente/351520
353323;SOBRECOXA DE FRANGO PACOTE - C.VALE;A Sobrecoxa de Frango C.Vale em pacote é reconhecida pela suculência, maciez e ótimo custo-benefício. Indicada para grelhados, assados, frituras e preparações temperadas, atende bares, restaurantes e varejo alimentar. Produto congelado, com padrão de qualidade e praticidade no armazenamento. Origem: Ave;;;C.VALE;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/sobrecoxa-de-frango-pacote-cvale-ave-congelado/353323
353325;FILÉ DE MEIO PEITO SEM SASSAMI PACOTE - C.VALE;O Filé de Meio Peito Sem Sassami - C.Vale é uma opção saudável e nutritiva, perfeita para várias preparações. Cada pacote contém entre 10 e 22 unidades, oferecendo praticidade no armazenamento. Mantenha em temperatura congelada para garantir frescura e qualidade. Origem: Ave | Quantidade Mínima da Caixa: 10 | Quantidade Máxima da Caixa: 22;0789629538921;;C.VALE;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/file-de-meio-peito-sem-sassami-pacote-cvale-ave-congelado/353325
353460;CORAÇÃO DE FRANGO PACOTE (1KG) - C.VALE;Corte de ave leve e suculento do C.Vale, ideal para grelhar ou assar. Mantido congelado, preserva suas características de frescor e maciez. Sua origem certificada assegura qualidade e segurança alimentar, sendo perfeita para uma alimentação equilibrada e saudável. Origem: Ave | Quantidade Mínima da Caixa: 18 | Quantidade Máxima da Caixa: 18;0789629538935;;C.VALE;Aves;Congelado;1 kg;18.000 kg (Caixa);https://www.friboionline.com.br/product/coracao-de-frango-pacote-1kg-cvale-ave-congelado/353460
353461;SASSAMI DE FRANGO PACOTE - C.VALE;O Sassami de Frango - C.Vale é um corte suculento e versátil, perfeito para grelhados e assados. Cada pacote contém entre 10 e 22 unidades, garantindo praticidade no armazenamento. Mantenha em temperatura congelada para preservar frescura e qualidade. Origem: Ave | Quantidade Mínima da Caixa: 10 | Quantidade Máxima da Caixa: 22;;;C.VALE;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/sassami-de-frango-pacote-cvale-ave-congelado/353461
357369;PICANHA B SEM PELE URUGUAIA - LAS MORAS;A Picanha Sem Pele Uruguaia Las Moras é um corte bovino congelado premium, ideal para churrascarias, restaurantes e food service. Mantém sabor, maciez e padronização, fornecida em caixas de 8 a 12 unidades, perfeita para grelhar e assados gourmet. Origem: Bovino | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 12;;;LAS MORAS;Bovinos;Congelado;;14.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-sem-pele-uruguaia-las-moras-bovino-congelado/357369
358271;CHARQUE PONTA DE AGULHA (30KG) - BERTIN;A Charque Ponta de Agulha (30kg) - Bertin é um produto industrializado de alta qualidade, ideal para pratos tradicionais. Cada caixa contém 1 unidade, oferecendo praticidade no uso. Mantenha em temperatura ambiente.;0789435116579;;BERTIN;Outros;Temperatura Ambiente;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-ponta-de-agulha-30kg-bertin-industrializado-ambiente/358271
358285;COXINHA DA ASA INTERFOLHADA - C.VALE;A Coxinha da Asa Interfolhada C.Vale é um corte de ave que une sabor e praticidade. Perfeita para assar ou fritar, a coxinha da asa tem sabor marcante e suculência, sendo mantida congelada para preservar frescor e qualidade. Ideal para diversos preparos, esse produto oferece uma textura crocante por fora e macia por dentro, sendo uma excelente escolha para refeições rápidas e saborosas. Origem: Ave;;;C.VALE;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/coxinha-da-asa-interfolhada-cvale-ave-congelado/358285
358318;CHARQUE PONTA DE AGULHA (5KG) - BERTIN;Charque ponta de agulha Bertin, embalagem de 5kg, é uma carne industrializada de sabor intenso e textura firme. A caixa contém 6 unidades em temperatura ambiente, oferecendo praticidade no armazenamento e uso. Produto ideal para preparos tradicionais que valorizam o sabor da carne curada e sua durabilidade. Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 6;0789435116573;;BERTIN;Outros;Temperatura Ambiente;5 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-ponta-de-agulha-5kg-bertin-industrializado-ambiente/358318
358480;CHARQUE DIANTEIRO (30KG) - BERTIN;Charque dianteiro Bertin, embalado em peças de 30kg, é uma carne industrializada de sabor marcante e textura firme, ideal para preparos tradicionais. A caixa contém 1 unidade em temperatura ambiente, garantindo durabilidade e praticidade. Produto perfeito para receitas que exigem carne curada de alta qualidade.;0789435116581;;BERTIN;Outros;Temperatura Ambiente;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-dianteiro-30kg-bertin-industrializado-ambiente/358480
358483;CHARQUE CAPA COXÃO MOLE (30KG) - BERTIN;Charque capa coxão mole Bertin, com 30kg, é uma carne industrializada de sabor intenso e textura firme. A embalagem em ambiente mantém a qualidade e garante praticidade. Corte ideal para preparações tradicionais que valorizam o sabor da carne curada.;0789435116586;;BERTIN;Outros;Resfriado;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-capa-coxao-mole-30kg-bertin-industrializado-ambiente/358483
358486;CHARQUE CAPA CONTRA FILÉ (30KG) - BERTIN;Charque Capa Contra Filé Bertin em embalagem de 30kg, carne salgada tradicional, ideal para pratos típicos. Produto armazenado em temperatura ambiente. Quantidade Mínima da Caixa: 1 | Quantidade Máxima da Caixa: 1;0789435116591;;BERTIN;Outros;Temperatura Ambiente;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-capa-contra-file-30kg-bertin-industrializado-ambiente/358486
358489;MILHO DOCE PACOTE (2KG) - GRANO;O Milho Doce Pacote (2kg) - Grano é um vegetal saboroso, ideal para acompanhamentos. Cada caixa contém 2 unidades, garantindo praticidade no uso. Mantenha em temperatura congelada para preservar frescura. Quantidade Mínima da Caixa: 2 | Quantidade Máxima da Caixa: 2;;;GRANO;Outros;Congelado;2 kg;10.000 kg (Caixa);https://www.friboionline.com.br/product/milho-doce-pacote-2kg-grano-vegetal-congelado/358489
358543;CHARQUE DIANTEIRO (5KG) - BERTIN;Charque dianteiro Bertin de 5kg é uma carne curada de sabor intenso e textura firme, ideal para preparos tradicionais. A caixa contém 6 unidades em temperatura ambiente, garantindo praticidade no armazenamento. Produto industrializado que oferece alta qualidade e durabilidade em diversos pratos típicos e saborosos. Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 6;0789435116574;;BERTIN;Outros;Temperatura Ambiente;5 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-dianteiro-5kg-bertin-industrializado-ambiente/358543
362395;CHARQUE PEITO DOIS PELOS (30KG) - BERTIN;Charque peito dois pelos Bertin, embalado em peças de 30kg, é uma carne industrializada de sabor intenso e textura firme. A caixa contém 1 unidade em temperatura ambiente, ideal para preparos que demandam carnes curadas. Produto perfeito para quem busca tradição e sabor em receitas com carne de longa durabilidade.;0789435120723;;BERTIN;Outros;Temperatura Ambiente;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-peito-dois-pelos-30kg-bertin-industrializado-ambiente/362395
363020;FILÉ DE PEITO SEM SASSAMI INTERFOLHADO - C.VALE;O Filé de Peito Sem Sassami Interfolhado C.Vale é uma carne de ave magra e suculenta, ideal para grelhar ou assar. Mantido congelado para preservar suas características naturais, esse filé é uma opção prática e saudável para diversas receitas. Sua textura macia e sabor suave são perfeitos para pratos que exigem qualidade e leveza, sendo uma excelente escolha para refeições rápidas e nutritivas. Origem: Ave;;;C.VALE;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/file-de-peito-sem-sassami-interfolhado-cvale-ave-congelado/363020
363569;BARRIGA SUÍNA COM PELE - FRIELLA;Barriga suína com pele Friella, uma escolha perfeita para assados ou frituras crocantes. Cada caixa contém entre 4 e 7 peças, preservando o frescor e a suculência da carne. Ideal para receitas tradicionais, a barriga suína oferece sabor intenso e textura crocante, sendo uma excelente escolha para diversos preparos. Origem: Suíno | Quantidade Mínima da Caixa: 4 | Quantidade Máxima da Caixa: 7;;;FRIELLA;Suínos;Congelado;;19.700 kg (Caixa);https://www.friboionline.com.br/product/barriga-suina-com-pele-friella-suino-congelado/363569
363570;PERNIL SUÍNO COM OSSO E COM PELE - FRIELLA;O Pernil Suíno com Osso e com Pele Friella é um corte suculento e cheio de sabor, perfeito para assados ou preparações que exigem longa cocção. A carne mantém suas propriedades naturais por ser mantida congelada, proporcionando maciez e um sabor marcante em cada pedaço. Ideal para quem busca uma carne suína de alta qualidade e versátil para diversos tipos de pratos. Origem: Suíno;0789801733564;;FRIELLA;Suínos;Congelado;;17.000 kg (Caixa);https://www.friboionline.com.br/product/pernil-suino-com-osso-e-com-pele-friella-suino-congelado/363570
363571;PERNIL SUÍNO SEM OSSO E SEM PELE - FRIELLA;O Pernil suíno sem osso e sem pele da Friella é um corte prático e versátil para o preparo de assados e pratos tradicionais. Com uma caixa de 2 unidades, o produto congelado mantém suas propriedades de frescor, garantindo suculência e sabor em cada fatia. Ideal para quem busca carne suína de alta qualidade e fácil manuseio. Origem: Suíno | Quantidade Mínima da Caixa: 2 | Quantidade Máxima da Caixa: 2;;;FRIELLA;Suínos;Congelado;;24.000 kg (Caixa);https://www.friboionline.com.br/product/pernil-suino-sem-osso-e-sem-pele-friella-suino-congelado/363571
363572;CARRÉ SUÍNO COM OSSO - FRIELLA;Carré suíno com osso Friella é um corte nobre, ideal para assados ou grelhados. Cada caixa contém entre 3 e 5 peças, mantendo o frescor e a suculência do produto. Perfeito para quem aprecia uma carne macia e de sabor marcante, preservando a qualidade do corte durante o transporte e armazenamento. Origem: Suíno | Quantidade Mínima da Caixa: 3 | Quantidade Máxima da Caixa: 5;;;FRIELLA;Suínos;Congelado;;19.000 kg (Caixa);https://www.friboionline.com.br/product/carre-suino-com-osso-friella-suino-congelado/363572
363573;COSTELA SUÍNA COM OSSO - FRIELLA;Costela suína com osso Friella, perfeita para churrascos e assados. Com 8 a 12 peças por caixa, o produto mantém o frescor e a suculência, garantindo um sabor marcante em todas as preparações. Ideal para quem busca uma carne suína saborosa e de qualidade para diferentes receitas. Origem: Suíno | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 12;;;FRIELLA;Bovinos;Congelado;;18.200 kg (Caixa);https://www.friboionline.com.br/product/costela-suina-com-osso-friella-suino-congelado/363573
363595;FILÉ DE TILÁPIA GRANEL (15KG) - PLANALTO;O Filé de Tilápia Granel Planalto é uma opção leve e saudável, ideal para grelhar ou fritar. Esse filé de peixe é mantido congelado para preservar suas características naturais de frescor e sabor. Com uma textura suave e um sabor delicado, o filé de tilápia é uma excelente escolha para refeições nutritivas, sendo embalado em granel para facilitar o armazenamento e manuseio em grandes volumes. Origem: Pescado;;;PLANALTO;Aves;Congelado;15 kg;15.000 kg (Caixa);https://www.friboionline.com.br/product/file-de-tilapia-granel-15kg-planalto-pescado-congelado/363595
363735;PICANHA A SEM PELE MATURADA (ACIMA DE 1,3KG) URUGUAIA - FRIGOYI;A Picanha A Frigoyi Sem Pele Maturada pesa acima de 1,3 kg e é perfeita para preparar um delicioso churrasco. Com a certificação uruguaia, assegura um corte de qualidade. Disponível em caixas com mínimo de 6 e máximo de 12 unidades, este produto é mantido em temperatura congelada, garantindo sua frescura. Origem: Bovino | Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 12;;;FRIGOYI;Bovinos;Congelado;1.3 kg;14.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-a-sem-pele-maturada-acima-de-1-3kg-uruguaia-frigoyi-bovino-congelado/363735
363736;PICANHA A SUPER URUGUAIA - FRIGOYI;A Picanha A Frigoyi Super Uruguaia é um corte diferenciado, conhecido pela sua suculência e sabor. Ideal para ser assada ou grelhada, é certificada pelo Uruguai, garantindo qualidade. Disponível em embalagens com quantidade mínima de 6 e máxima de 12, e sempre em temperatura congelada para preservar seu frescor. Origem: Bovino | Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 12;;;FRIGOYI;Bovinos;Congelado;;11.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-a-super-uruguaia-frigoyi-bovino-congelado/363736
363826;PALETA SUÍNA SEM OSSO E SEM PELE - FRIELLA;A Paleta Suína Sem Osso e Sem Pele Friella é um corte versátil, ideal para assados e cozidos. Com uma quantidade mínima de 3 e máxima de 4 unidades por caixa, é um produto congelado que garante frescor e sabor. Ideal para quem busca um corte suculento e prático na cozinha. Origem: Suíno | Quantidade Mínima da Caixa: 3 | Quantidade Máxima da Caixa: 4;0789801733649;;FRIELLA;Bovinos;Congelado;;22.100 kg (Caixa);https://www.friboionline.com.br/product/paleta-suina-sem-osso-e-sem-pele-friella-suino-congelado/363826
363890;CORAÇÃO DE FRANGO PACOTE - CANÇÃO;Origem: Ave | Quantidade Mínima da Caixa: 18 | Quantidade Máxima da Caixa: 18;;;CANÇAO;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/coracao-de-frango-pacote-cancao-ave-congelado/363890
363999;STEAK EMPANADO DE FRANGO (100G) - C.VALE;O Steak Empanado de Frango (100g) C.Vale é uma opção prática e deliciosa, ideal para lanches e refeições rápidas. Com quantidade mínima de 60 e máxima de 60 unidades por caixa, esse produto congelado mantém o sabor e a crocância, oferecendo uma experiência deliciosa em cada mordida. Quantidade Mínima da Caixa: 60 | Quantidade Máxima da Caixa: 60;0789629533023;;C.VALE;Aves;Congelado;100 g;6.000 kg (Caixa);https://www.friboionline.com.br/product/steak-empanado-de-frango-100g-cvale-industrializado-congelado/363999
364131;CORAÇÃO DE FRANGO ALMOFADA - GUIBON;O Coração de Frango Almofada Guibon é um corte prático e delicioso, ideal para grelhados. Vem em pacotes com 18 unidades, garantindo frescor e qualidade. Certificado por terceiros, é um produto congelado que preserva suas características, perfeito para o dia a dia na cozinha. Origem: Ave | Quantidade Mínima da Caixa: 18 | Quantidade Máxima da Caixa: 18;0789856321018;;GUIBON;Aves;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/coracao-de-frango-almofada-guibon-ave-congelado/364131
364168;BACON - FRIELLA;O Bacon Friella é um produto suíno resfriado de alta qualidade, ideal para restaurantes, lanchonetes e food service. Mantém sabor, frescor e padronização, fornecido em caixas de 4 a 5 unidades, pronto para fatiar e utilizar em diversas receitas. Origem: Suíno | Quantidade Mínima da Caixa: 4 | Quantidade Máxima da Caixa: 5;0789801733505;;FRIELLA;Suínos;Resfriado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/bacon-friella-suino-resfriado/364168
